"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2019-20","672","Harris County","0299","Harris County High School","All Students","English",1670497,26811,"110","110",19.7,20.2,19.9,19.9
"2019-20","625","Savannah-Chatham County","5060","Jenkins High School","All Students","Composite",1670497,26811,"261","31",20.6,20.8,19.4,18.5
"2019-20","625","Savannah-Chatham County","5060","Jenkins High School","All Students","English",1670497,26811,"261","31",19.7,20.2,18.9,17.5
"2019-20","676","Houston County","0192","Houston County High School","All Students","Writing Subscore",678906,5089,"68","23",6.4,6.8,6.9,6.3
"2019-20","676","Houston County","0192","Houston County High School","All Students","Reading",1670497,26810,"346","132",21.2,21.6,21.4,21.6
"2019-20","675","Henry County","0295","Stockbridge High School","All Students","Composite",1670497,26811,"1010","96",20.6,20.8,19.3,17.7
"2019-20","761","Atlanta Public Schools","0121","Old Coretta Scott King Young Women's Academy High School","All Students","Science",1670497,26810,"923","22",20.6,20.8,19.1,16.5
"2019-20","677","Irwin County","2050","Irwin County High School","All Students","Reading",1670497,26810,"31","31",21.2,21.6,19,19
"2019-20","648","Douglas County","0187","Alexander High School","All Students","Science",1670497,26810,"650","169",20.6,20.8,19.2,20.6
"2019-20","648","Douglas County","0187","Alexander High School","All Students","Mathematics",1670497,26810,"650","169",20.4,20.2,18.3,19
"2019-20","631","Clayton County","0190","Lovejoy High School","All Students","Reading",1670497,26810,"760","109",21.2,21.6,18.3,18
"2019-20","660","Fulton County","0392","Chattahoochee High School","All Students","Science",1670497,26810,"2071","143",20.6,20.8,23.1,25.5
"2019-20","660","Fulton County","0392","Chattahoochee High School","All Students","English",1670497,26811,"2071","143",19.7,20.2,23.5,26.2
"2019-20","680","Jeff Davis County","0199","Jeff Davis High School","All Students","English",1670497,26811,"17","17",19.7,20.2,15.5,15.5
"2019-20","608","Bartow County","0114","Cass High School","All Students","Reading",1670497,26810,"181","68",21.2,21.6,21.3,20.2
"2019-20","608","Bartow County","0114","Cass High School","All Students","English",1670497,26811,"181","68",19.7,20.2,19.7,18.6
"2019-20","786","Social Circle City","0201","Social Circle High School","All Students","Mathematics",1670497,26810,"10","10",20.4,20.2,20.2,20.2
"2019-20","792","Valdosta City","0273","Valdosta High School","All Students","Science",1670497,26810,"70","70",20.6,20.8,20.3,20.3
"2019-20","644","DeKalb County","3060","Lakeside High School","All Students","Composite",1670497,26811,"1337","130",20.6,20.8,20,23.8
"2019-20","625","Savannah-Chatham County","5070","Windsor Forest High School","All Students","Writing Subscore",678906,5089,"79","TFS",6.4,6.8,6.8,
"2019-20","729","Sumter County","0105","Americus Sumter High School (Old Americus-Sumter HS S)","All Students","Science",1670497,26810,"46","46",20.6,20.8,16.7,16.7
"2019-20","658","Forsyth County","0214","Lambert High School","All Students","Composite",1670497,26811,"1074","329",20.6,20.8,24.6,26
"2019-20","658","Forsyth County","0214","Lambert High School","All Students","Writing Subscore",678906,5089,"187","86",6.4,6.8,7.7,7.8
"2019-20","702","Monroe County","0184","Mary Persons High School","All Students","Reading",1670497,26810,"67","67",21.2,21.6,21,21
"2019-20","743","Twiggs County","0201","Twiggs County High School","All Students","Mathematics",1670497,26810,"TFS","TFS",20.4,20.2,,
"2019-20","743","Twiggs County","0201","Twiggs County High School","All Students","Science",1670497,26810,"TFS","TFS",20.6,20.8,,
"2019-20","743","Twiggs County","0201","Twiggs County High School","All Students","Composite",1670497,26811,"TFS","TFS",20.6,20.8,,
"2019-20","697","McDuffie County","0192","Thomson High School","All Students","Science",1670497,26810,"43","43",20.6,20.8,18.3,18.3
"2019-20","660","Fulton County","0118","Hapeville Charter Career Academy","All Students","Science",1670497,26810,"2071","32",20.6,20.8,23.1,16.4
"2019-20","773","Decatur City","3050","Decatur High School","All Students","Science",1670497,26810,"114","114",20.6,20.8,24.4,24.4
"2019-20","660","Fulton County","0386","Independence High School","All Students","Reading",1670497,26810,"2071","TFS",21.2,21.6,24.1,
"2019-20","608","Bartow County","0198","Woodland High School","All Students","English",1670497,26811,"181","73",19.7,20.2,19.7,20.9
"2019-20","719","Rabun County","0177","Rabun County High School","All Students","Composite",1670497,26811,"23","23",20.6,20.8,20.4,20.4
"2019-20","705","Murray County","0190","Murray County High School","All Students","Science",1670497,26810,"65","47",20.6,20.8,19.3,19.2
